angle_deg	verdict	pairing_error	rate_error	M_norm
0.00	Soft	5.071484E-014	5.329071E-015	6.400000E+001
2.50	Hard	3.854161E-003	3.854161E-003	6.409126E+001
5.00	Hard	1.505883E-002	1.505883E-002	6.436358E+001
7.50	Hard	3.260780E-002	3.260780E-002	6.481262E+001
10.00	Hard	5.502996E-002	5.502996E-002	6.543137E+001
12.50	Hard	8.063859E-002	8.063859E-002	6.621044E+001
15.00	Hard	1.077788E-001	1.000000E-001	6.713844E+001
17.50	Hard	2.000000E-001	1.000000E-001	6.820238E+001
20.00	Hard	2.000000E-001	1.000000E-001	6.938812E+001
22.50	Hard	2.000000E-001	1.000000E-001	7.068075E+001
25.00	Hard	2.000000E-001	1.000000E-001	7.206495E+001
27.50	Hard	2.000000E-001	1.000000E-001	7.352532E+001
30.00	Hard	2.000000E-001	1.000000E-001	7.504665E+001
32.50	Hard	2.000000E-001	1.000000E-001	7.661408E+001
35.00	Hard	2.000000E-001	1.000000E-001	7.821326E+001
37.50	Hard	2.000000E-001	1.000000E-001	7.983049E+001
40.00	Hard	2.000000E-001	1.000000E-001	8.145276E+001
42.50	Hard	2.000000E-001	1.000000E-001	8.306779E+001
45.00	Hard	4.000000E-001	1.000000E-001	8.466404E+001
47.50	Hard	2.000000E-001	1.000000E-001	8.623075E+001
50.00	Hard	2.000000E-001	1.000000E-001	8.775789E+001
52.50	Hard	2.000000E-001	1.000000E-001	8.923616E+001
55.00	Hard	2.000000E-001	1.000000E-001	9.065697E+001
57.50	Hard	2.000000E-001	1.000000E-001	9.201241E+001
60.00	Hard	2.000000E-001	1.000000E-001	9.329523E+001
62.50	Hard	2.000000E-001	1.000000E-001	9.449882E+001
65.00	Hard	2.000000E-001	1.000000E-001	9.561717E+001
67.50	Hard	2.000000E-001	1.000000E-001	9.664488E+001
70.00	Hard	2.000000E-001	1.000000E-001	9.757709E+001
72.50	Hard	2.000000E-001	1.000000E-001	9.840953E+001
75.00	Hard	1.077788E-001	1.000000E-001	9.913844E+001
77.50	Hard	8.063859E-002	8.063859E-002	9.976060E+001
80.00	Hard	5.502996E-002	5.502996E-002	1.002733E+002
82.50	Hard	3.260780E-002	3.260780E-002	1.006743E+002
85.00	Hard	1.505883E-002	1.505883E-002	1.009620E+002
87.50	Hard	3.854161E-003	3.854161E-003	1.011351E+002
90.00	Soft	5.952214E-014	1.179612E-014	1.011929E+002
