section	topo	N	k	j2	d35	d50	d65	width	wiggle
map	chain	12	3	0.00	1.1099	1.1567	1.2447	0.1348	0.00e+00
map	chain	12	3	0.05	1.1644	1.2147	1.3071	0.1427	0.00e+00
map	chain	12	3	0.10	1.2193	1.2734	1.3709	0.1516	0.00e+00
map	chain	12	3	0.15	1.2747	1.3324	1.4345	0.1598	0.00e+00
map	chain	12	3	0.20	1.3306	1.3915	1.4977	0.1671	0.00e+00
map	chain	12	3	0.25	1.3874	1.4511	1.5636	0.1762	0.00e+00
map	chain	12	3	0.30	1.4452	1.5142	1.6297	0.1845	0.00e+00
map	chain	12	3	0.35	1.5041	1.5768	1.6951	0.1911	0.00e+00
map	chain	12	3	0.40	1.5631	1.6391	1.7625	0.1995	0.00e+00
map	chain	12	3	0.45	1.6222	1.7016	1.8304	0.2082	0.00e+00
map	chain	12	3	0.50	1.6818	1.7668	1.8974	0.2156	0.00e+00
map	chain	12	3	0.55	1.7422	1.8313	1.9668	0.2247	0.00e+00
map	chain	12	3	0.60	1.8032	1.8954	2.0358	0.2326	0.00e+00
map	chain	12	3	0.65	1.8640	1.9612	2.1046	0.2407	0.00e+00
map	chain	12	3	0.70	1.9250	2.0273	2.1754	0.2503	0.00e+00
map	chain	12	3	0.75	1.9867	2.0928	2.2449	0.2582	0.00e+00
map	chain	12	3	0.80	2.0492	2.1594	2.3160	0.2668	0.00e+00
map	chain	12	3	0.85	2.1111	2.2265	2.3870	0.2758	0.00e+00
map	chain	12	3	0.90	2.1733	2.2930	2.4579	0.2846	0.00e+00
map	chain	12	3	0.95	2.2361	2.3606	2.5300	0.2939	0.00e+00
map	chain	12	3	1.00	2.2996	2.4283	2.6009	0.3013	0.00e+00
map	ring	12	3	0.00	1.3230	1.4530	1.6488	0.3257	0.00e+00
map	ring	12	3	0.05	1.3924	1.5337	1.7408	0.3484	0.00e+00
map	ring	12	3	0.10	1.4624	1.6153	1.8351	0.3727	0.00e+00
map	ring	12	3	0.15	1.5326	1.6975	1.9313	0.3987	0.00e+00
map	ring	12	3	0.20	1.6033	1.7816	2.0293	0.4260	0.00e+00
map	ring	12	3	0.25	1.6743	1.8660	2.1287	0.4544	0.00e+00
map	ring	12	3	0.30	1.7457	1.9509	2.2294	0.4837	0.00e+00
map	ring	12	3	0.35	1.8176	2.0372	2.3313	0.5138	0.00e+00
map	ring	12	3	0.40	1.8897	2.1239	2.4342	0.5445	0.00e+00
map	ring	12	3	0.45	1.9623	2.2111	2.5381	0.5757	0.00e+00
map	ring	12	3	0.50	2.0352	2.2988	2.6427	0.6075	0.00e+00
map	ring	12	3	0.55	2.1086	2.3874	2.7481	0.6395	0.00e+00
map	ring	12	3	0.60	2.1822	2.4764	2.8545	0.6723	0.00e+00
map	ring	12	3	0.65	2.2562	2.5658	2.9615	0.7053	0.00e+00
map	ring	12	3	0.70	2.3305	2.6556	3.0691	0.7386	0.00e+00
map	ring	12	3	0.75	2.4052	2.7459	3.1772	0.7720	0.00e+00
map	ring	12	3	0.80	2.4801	2.8367	3.2857	0.8056	0.00e+00
map	ring	12	3	0.85	2.5554	2.9279	3.3947	0.8393	0.00e+00
map	ring	12	3	0.90	2.6309	3.0193	3.5042	0.8733	0.00e+00
map	ring	12	3	0.95	2.7067	3.1111	3.6143	0.9075	0.00e+00
map	ring	12	3	1.00	2.7828	3.2032	3.7246	0.9419	0.00e+00
kdep	chain	12	2	0.00	1.1031	1.1617	1.2506	0.1476	0.00e+00
kdep	chain	12	2	0.50	1.4748	1.6641	1.8236	0.3488	0.00e+00
kdep	chain	12	2	1.00	1.6307	2.0055	2.3319	0.7013	0.00e+00
kdep	chain	12	3	0.00	1.1099	1.1567	1.2447	0.1348	0.00e+00
kdep	chain	12	3	0.50	1.6818	1.7668	1.8974	0.2156	0.00e+00
kdep	chain	12	3	1.00	2.2996	2.4283	2.6009	0.3013	0.00e+00
kdep	chain	12	4	0.00	1.0993	1.1459	1.2310	0.1317	0.00e+00
kdep	chain	12	4	0.50	1.6835	1.7589	1.8929	0.2094	0.00e+00
kdep	chain	12	4	1.00	2.3215	2.4223	2.5926	0.2711	0.00e+00
ndep	chain	10	3	0.00	1.1214	1.1674	1.2469	0.1255	0.00e+00
ndep	chain	10	3	0.50	1.6836	1.7828	1.9140	0.2304	0.00e+00
ndep	chain	10	3	1.00	2.2882	2.4468	2.6300	0.3417	0.00e+00
ndep	chain	12	3	0.00	1.1099	1.1567	1.2447	0.1348	0.00e+00
ndep	chain	12	3	0.50	1.6818	1.7668	1.8974	0.2156	0.00e+00
ndep	chain	12	3	1.00	2.2996	2.4283	2.6009	0.3013	0.00e+00
ndep	chain	14	3	0.00	1.1021	1.1540	1.2445	0.1424	0.00e+00
ndep	chain	14	3	0.50	1.6782	1.7573	1.8934	0.2152	0.00e+00
ndep	chain	14	3	1.00	2.3001	2.4158	2.5907	0.2906	0.00e+00
