label,site,alpha,beta,rmse,boundary
0.5,0,0.6460798952027729,1.1244418675069516,0.005859760863337022,0
0.5,1,0.4150672156505855,1.4978979104894259,0.00569860679896879,0
0.5,2,0.45903818763684107,-2.465887921676973,0.006447574616035173,0
0.5,3,2.320694114312436,-10.0,0.008989163001504836,1
0.5,4,2.024923643491693,-0.33559395800881103,0.011027468424178346,0
0.5,5,3.3859838519491228,-1.724771270957776,0.009529544851127126,0
0.5,6,1.7241983484705898,-0.7720895353542283,0.008374664312356072,0
2,0,0.7018068826018125,0.11557104208155472,0.004408745214612251,0
2,1,0.8480119451168989,-0.8480119243335644,0.010776490501536206,0
2,2,12.368943850171709,-2.2074162050242787,0.029234552869591167,0
2,3,7.392225392226474,-7.794871519084534e-07,0.030932751605551142,0
2,4,0.619222300606271,-2.3497508517130155,0.011026727299349733,0
2,5,0.5259017173151526,-1.6828855297908,0.00577988681814878,0
2,6,0.5393048134324799,0.22134592345070217,0.006672903505170345,0
