N,topo,Q,pc,pr,nXy,rate,c_eff
4,chain,0.05,2,2,0.0003661787,0.0146471464,2.343543
4,chain,0.08,2,2,0.0009376657,0.0234416434,2.344164
4,chain,0.12,2,2,0.0021108962,0.0351816029,2.34544
4,chain,0.18,2,2,0.0047553511,0.0528372346,2.348322
4,chain,0.25,2,2,0.0091920827,0.0735366617,2.353173
4,chain,0.35,1,1,0.018091499,0.1033799943,2.362971
4,ring,0.05,2,2,0.0012499995,0.0499999804,7.999997
4,ring,0.08,2,2,0.0031999918,0.0799997945,7.999979
4,ring,0.12,2,2,0.007199906,0.1199984336,7.999896
4,ring,0.18,2,2,0.0161989198,0.1799879981,7.999467
4,ring,0.25,2,2,0.0312421305,0.2499370441,7.997985
4,ring,0.35,2,2,0.0611889927,0.3496513869,7.992032
4,star,0.05,3,3,0.0006250977,0.0250039069,4.000625
4,star,0.08,3,3,0.0016006403,0.0400160064,4.001601
4,star,0.12,1,1,0.0036032429,0.0600540485,4.003603
4,star,0.18,1,1,0.0081164355,0.0901826168,4.008116
4,star,0.25,1,1,0.0156862707,0.1254901653,4.015685
4,star,0.35,3,3,0.0308612232,0.1763498469,4.030854
5,chain,0.05,2,2,0.0002387533,0.0095501328,2.387533
5,chain,0.08,3,3,0.0006113067,0.0152826663,2.387917
5,chain,0.12,2,2,0.0013758934,0.0229315573,2.388704
5,chain,0.18,1,1,0.0030980612,0.0344229027,2.390479
5,chain,0.25,3,3,0.0059836525,0.0478692201,2.393461
5,chain,0.35,3,3,0.0117573167,0.0671846666,2.399452
5,ring,0.05,3,3,0.0008639153,0.0345566138,8.639153
5,ring,0.08,2,2,0.0022123693,0.0553092316,8.642067
5,ring,0.12,3,3,0.0049812809,0.0830213488,8.648057
5,ring,0.18,3,3,0.0112254272,0.1247269694,8.661595
5,ring,0.25,2,2,0.0217110615,0.1736884916,8.684425
5,ring,0.35,3,3,0.0427802459,0.2444585478,8.730662
5,star,0.05,4,4,0.0006249999,0.0249999976,6.249999
5,star,0.08,4,4,0.001599999,0.0399999744,6.249996
5,star,0.12,4,4,0.0035999883,0.0599998049,6.24998
5,star,0.18,4,4,0.0080998661,0.0899985118,6.249897
5,star,0.25,1,1,0.0156240314,0.124992251,6.249613
5,star,0.35,1,1,0.0306175978,0.174957702,6.248489
6,chain,0.05,3,3,0.0001674796,0.0066991848,2.411707
6,chain,0.08,1,1,0.0004287933,0.0107198317,2.411962
6,chain,0.12,2,2,0.0009649947,0.0160832454,2.412487
6,chain,0.18,2,2,0.0021723023,0.0241366917,2.413669
6,chain,0.25,3,3,0.0041938402,0.0335507213,2.415652
6,chain,0.35,4,4,0.0082334476,0.047048272,2.419625
6,ring,0.05,4,4,0.0006250977,0.0250039069,9.001406
6,ring,0.08,2,2,0.0016006403,0.0400160064,9.003601
6,ring,0.12,2,2,0.0036032429,0.0600540485,9.008107
6,ring,0.18,2,2,0.0081164355,0.0901826168,9.018262
6,ring,0.25,2,2,0.0156862707,0.1254901653,9.035292
6,ring,0.35,4,4,0.0308612232,0.1763498469,9.069421
6,star,0.05,1,1,0.0006249022,0.0249960895,8.998592
6,star,0.08,5,5,0.0015993582,0.0399839552,8.99639
6,star,0.12,5,5,0.0035967396,0.0599456596,8.991849
6,star,0.18,1,1,0.0080833647,0.089815163,8.981516
6,star,0.25,5,5,0.0155622917,0.1244983334,8.96388
6,star,0.35,5,5,0.0303779046,0.1735880264,8.927384
7,chain,0.05,4,4,0.0001237948,0.0049517931,2.426379
7,chain,0.08,4,4,0.0003169384,0.0079234594,2.426559
7,chain,0.12,2,2,0.0007132204,0.0118870067,2.426931
7,chain,0.18,1,1,0.0016052986,0.0178366511,2.427766
7,chain,0.25,4,4,0.0030984272,0.024787418,2.429167
7,chain,0.35,4,4,0.0060799232,0.0347424183,2.431969
7,ring,0.05,1,1,0.0004706931,0.0188277254,9.225585
7,ring,0.08,3,3,0.0012051958,0.030129894,9.22728
7,ring,0.12,3,3,0.0027127131,0.0452118855,9.23076
7,ring,0.18,4,4,0.0061087946,0.067875495,9.238609
7,ring,0.25,3,3,0.0118007582,0.0944060653,9.251794
7,ring,0.35,5,5,0.0231957605,0.1325472026,9.278304
7,star,0.05,6,6,0.0006248046,0.0249921826,12.246169
7,star,0.08,6,6,0.001598718,0.0399679489,12.240184
7,star,0.12,6,6,0.0035934967,0.0598916123,12.227871
7,star,0.18,6,6,0.0080669309,0.0896325658,12.199988
7,star,0.25,6,6,0.0155010455,0.124008364,12.15282
7,star,0.35,1,1,0.0301420464,0.172240265,12.056819
